data,title
 থিওরি অফ রিলেটিভিটির প্রেক্ষিতে বাংলা ভাষার এই বৈচিত্রতে তো ভাষা সমৃদ্ধই হয় এটা জ্ঞান দেবার জায়গা নয় আর তার চেষ্টাও করছিনা কিন্তু লেখার যুক্তির সাথে স্থানীয় প্রচলিত শব্দের যে মাধুর্য সেটাকে গ্রহণ করতে অসুবিধা কোথায়  অন্তত বোঝার জন্যেও পরিবর্তে ব্যঙ্গ করাটা সম্ভবত শিষ্টাচারের মধ্যে পরেনা পশ্চিমবঙ্গের বিভিন্ন জেলাতে তো বটেই এমনকি খাস কলকাতার যে বাংলা তাতেও তো বহু বৈচিত্র আছে সবগুলো যে খুব শ্রুতি মাধুর্যে ভরা তাও তো নয় তাহলে এই অসহিষ্ণুতা কেনো সেটা সত্যি বোঝা যায়না এছাড়াও দুর্ভাগ্যবশত অতি অল্প কিছু লেখামন্তব্য এতটাই কদর্য যে মনে হয় মাতৃভাষার এর থেকে বড় অপমান আর কোনো ভাবে করা যায়না অনুরোধ করি যে আশাকরি এইটুকু ভেবে অত্যন্ত লেখার সময় তারা সংযত থাকবেন  যারা নিজের মাতৃভাষাকে ভালোবাসেন আর শ্রদ্ধা করেন অনুরোধ সকলের কাছে নমস্কার,নিশ্চিত ইতিবাচক
এডমিনকে অনুরোধ করব যারা এসব কাজ করে দুই বাংলার মানুষের মাঝে সম্প্রীতি নষ্ট করতে তৎপর তাদের যেন ব্যান করা হয় এবং কিছু কমেন্ট রেস্ট্রিকশনও যেন দিয়ে দেওয়া হয় যাতে ঘৃণামূলক কমেন্টগুলো শো না করে,নিরপেক্ষ
খাদ্যগলিডেকার্স লেনে ভোজনচর্চা,নিরপেক্ষ
আদনান তোর বৌয়ের ভোদা খাবো খুব মিষ্টি রস বেরোয় তোর বৌয়ের ভোদা থেকে ,নিশ্চিত নেতিবাচক
কে কে আমার ভিডিও লাইক করলে,নিরপেক্ষ
কোন কথা হবে না এক কথায় অসাধারণ,নিশ্চিত ইতিবাচক
হিন্দু মালাউনের দোকানে খাবেন না ওরা খাবারে গরুর মুত মিশায় ,নিশ্চিত নেতিবাচক
 মিনিটের আগে একটা বাজে সাউন্ড ছিলো,কিছুটা নেতিবাচক
ভাত আর মটন  মামদোবাজি,নিশ্চিত নেতিবাচক
 রেস্টুরেন্ট এর খাবার এর মান এবং সব কিছুই ভালো প্রত্যেক আইটেম এর রিভিউ দিলে ভালো হতো,নিরপেক্ষ
রুপি বুফেট সহ খোলা থাকে কয়টা পযর্ন্ত আশা করি রিপ্লাই দিবেন দাদা,নিরপেক্ষ
যমদূত একদম ই তাই বীচ পরিষ্কার না রাখলে সমুদ্রের জল মানে পরিবেশ নোংরা হবে সেটা সরকার তো বটে ই আমাদের ও মাথায় রাখতে হবে যদি ভালো করে গবেষণা করেন তাহলে বুঝতে পারবেন আমরা খুব খারাপ সময় এর মধ্যে দিয়ে যাচ্ছি পৃথিবীর প্রাকৃতিক ভারসাম্য নষ্ট হয়ে এসেছে আমরাই শেষ প্রজন্ম যারা কিছু করতে পারি নাহলে,কিছুটা ইতিবাচক
যমদূত তাহলে বড়াপাও ও ভারতের বানচপ,নিরপেক্ষ
যমদূত বোঝা যাচ্ছে এখনো প্রচুর রাজাকারের বীজ ছড়িয়ে আছে বাংলাদেশে যারা পাকিস্তানের প্রেমে পাগল এরা কিন্তু বাংলাদেশের পক্ষে চূড়ান্ত ক্ষতিকর,নিশ্চিত নেতিবাচক
অতটুকু ভাত দিয়ে এত কিছু খেতে দিছে,কিছুটা নেতিবাচক
অতিরিক্ত দাম রাখা হয়েছে বাংলাদেশ থেকে লিখলাম,কিছুটা নেতিবাচক
অদ্ভুত একটা সাউন্ড ব্যাকগ্রাউন্ডে,কিছুটা নেতিবাচক
অনেক তো খেলেন গরীব মানুষের কাছে খাবার পাঠানো বেবসতা করুন,কিছুটা নেতিবাচক
অনেক দিন পর সেই পুরনো মিউজিক আর রিভিউ আগের মতো ই অসাধারণ,নিশ্চিত ইতিবাচক
অনেক বেশি দাম মনে হচ্ছে,কিছুটা নেতিবাচক
অনেক সস্তা দেখা যায়  রূপি,নিরপেক্ষ
অন্যদের মুখে স্বাদের ব্যাপারে বিরূপ মন্তব্য শুনেছিলাম যাক্ এখন স্বাদটা ভালো করেছে লোকের পকেট খালি হলেও খালি পেটে বেরিয়ে আসতে হবেনা,কিছুটা ইতিবাচক
অভিনেতা ছিলি সেটাই ভালো ছিল এখন ডং করতে গেছে এভাবে চবলাইয়া কেউ খায় এত শব্দ করে খায় নাকি বলদ একটা,নিশ্চিত নেতিবাচক
অসংখ্য ধন্যবাদ সাহস দেখাবার জন্য,নিশ্চিত ইতিবাচক
অসাধারণ ভিডিও আপনার ভিডিও দেখে ভীষণ লোভ লাগে,নিশ্চিত ইতিবাচক
অসাধারণসবাই এখানকার সরবত অবশ্যই খেও আমি খেয়েছি তুলনা হয়না,কিছুটা ইতিবাচক
অস্থির জিনিস আসতেছে সামনে,নিরপেক্ষ
আগরতলার ভুরি ভোজ খুঁনতি কড়াই তে জান,নিরপেক্ষ
আগে দেখলাম বাই বিডিও টা কি পুরুস্কর পামু,নিরপেক্ষ
আগেও বলেছিলাম মুম্বাইয়ের খাবার বাঙালিদের হজম হবে না খুবই স্পাইসি খায় ওরা,কিছুটা নেতিবাচক
